index	prediction
0	0
1	1
2	0
3	1
4	0
5	0
6	1
7	1
8	1
9	0
10	1
11	1
12	1
13	1
14	1
15	1
16	0
17	1
18	1
19	0
20	1
21	0
22	1
23	1
24	0
25	0
26	1
27	0
28	0
29	0
30	1
31	0
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	0
40	1
41	0
42	0
43	1
44	1
45	0
46	1
47	1
48	0
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	0
58	0
59	1
60	1
61	1
62	1
63	1
64	1
65	0
66	1
67	1
68	0
69	1
70	1
71	1
72	0
73	1
74	1
75	0
76	0
77	1
78	1
79	1
80	1
81	1
82	1
83	0
84	1
85	0
86	1
87	1
88	1
89	0
90	1
91	0
92	1
93	1
94	1
95	0
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	0
105	0
106	1
107	0
108	1
109	1
110	1
111	1
112	1
113	0
114	1
115	1
116	0
117	0
118	1
119	1
120	0
121	0
122	0
123	1
124	1
125	0
126	0
127	0
128	0
129	0
130	1
131	0
132	1
133	1
134	0
135	1
136	0
137	1
138	1
139	1
140	0
141	1
142	0
143	0
144	0
145	1
146	0
147	1
148	1
149	0
150	0
151	1
152	1
153	1
154	1
155	0
156	1
157	1
158	1
159	0
160	0
161	0
162	1
163	0
164	0
165	1
166	0
167	1
168	1
169	1
170	0
171	0
172	1
173	1
174	0
175	1
176	0
177	0
178	0
179	1
180	1
181	1
182	0
183	0
184	1
185	1
186	0
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	0
195	1
196	0
197	1
198	1
199	1
200	1
201	0
202	1
203	0
204	1
205	1
206	1
207	1
208	0
209	0
210	1
211	0
212	0
213	1
214	0
215	1
216	0
217	1
218	0
219	0
220	0
221	1
222	1
223	1
224	0
225	0
226	1
227	0
228	1
229	1
230	1
231	0
232	0
233	1
234	1
235	0
236	0
237	1
238	1
239	1
240	1
241	0
242	0
243	0
244	0
245	0
246	1
247	1
248	0
249	1
250	1
251	0
252	1
253	1
254	0
255	1
256	1
257	0
258	0
259	1
260	1
261	1
262	1
263	0
264	1
265	1
266	1
267	1
268	0
269	0
270	0
271	0
272	0
273	1
274	0
275	0
276	0
277	0
278	0
279	1
280	1
281	0
282	0
283	1
284	1
285	1
286	1
287	1
288	0
289	1
290	1
291	0
292	1
293	0
294	0
295	1
296	1
297	0
298	1
299	0
300	1
301	0
302	1
303	1
304	1
305	0
306	0
307	1
308	0
309	1
310	1
311	1
312	1
313	0
314	1
315	1
316	0
317	0
318	1
319	0
320	1
321	1
322	0
323	0
324	0
325	1
326	1
327	0
328	0
329	1
330	1
331	0
332	1
333	1
334	0
335	0
336	1
337	0
338	1
339	1
340	0
341	1
342	1
343	1
344	0
345	0
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	1
355	0
356	1
357	1
358	1
359	1
360	1
361	1
362	0
363	0
364	0
365	1
366	0
367	1
368	0
369	1
370	0
371	1
372	0
373	1
374	0
375	1
376	1
377	0
378	1
379	0
380	1
381	1
382	1
383	0
384	0
385	0
386	1
387	0
388	1
389	0
390	1
391	1
392	1
393	1
394	0
395	0
396	1
397	0
398	1
399	1
400	1
401	1
402	1
403	0
404	1
405	1
406	1
407	0
408	1
409	1
410	0
411	1
412	1
413	1
414	1
415	1
416	0
417	1
418	0
419	0
420	1
421	1
422	1
423	0
424	1
425	0
426	1
427	1
428	0
429	0
430	1
431	0
432	1
433	0
434	1
435	1
436	1
437	1
438	1
439	1
440	0
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	1
450	0
451	1
452	0
453	1
454	1
455	1
456	0
457	0
458	0
459	1
460	1
461	0
462	0
463	1
464	1
465	0
466	0
467	1
468	1
469	0
470	1
471	0
472	0
473	1
474	0
475	0
476	0
477	0
478	1
479	0
480	1
481	1
482	1
483	0
484	0
485	1
486	1
487	1
488	0
489	1
490	1
491	1
492	0
493	0
494	0
495	0
496	1
497	0
498	0
499	0
500	1
501	1
502	1
503	1
504	1
505	0
506	1
507	1
508	1
509	1
510	1
511	1
512	1
513	1
514	0
515	0
516	1
517	1
518	1
519	0
520	1
521	1
522	0
523	0
524	1
525	1
526	0
527	0
528	1
529	1
530	0
531	1
532	1
533	0
534	0
535	1
536	0
537	1
538	1
539	1
540	1
541	0
542	1
543	1
544	0
545	1
546	1
547	1
548	0
549	0
550	1
551	0
552	0
553	1
554	1
555	1
556	0
557	1
558	0
559	1
560	1
561	1
562	0
563	1
564	0
565	1
566	1
567	1
568	1
569	1
570	0
571	1
572	1
573	1
574	1
575	1
576	1
577	0
578	1
579	0
580	1
581	0
582	0
583	1
584	1
585	1
586	1
587	1
588	0
589	0
590	0
591	1
592	1
593	1
594	1
595	1
596	1
597	0
598	0
599	1
600	1
601	0
602	1
603	0
604	1
605	0
606	1
607	1
608	0
609	0
610	1
611	0
612	0
613	0
614	0
615	1
616	0
617	1
618	1
619	1
620	1
621	1
622	1
623	1
624	0
625	1
626	0
627	1
628	1
629	0
630	1
631	1
632	1
633	1
634	1
635	1
636	0
637	1
638	0
639	1
640	0
641	1
642	1
643	1
644	1
645	1
646	0
647	1
648	0
649	1
650	1
651	1
652	1
653	1
654	0
655	1
656	1
657	1
658	0
659	1
660	1
661	0
662	1
663	0
664	0
665	0
666	0
667	0
668	0
669	1
670	0
671	0
672	1
673	1
674	0
675	0
676	0
677	0
678	0
679	1
680	1
681	1
682	1
683	1
684	1
685	0
686	1
687	0
688	1
689	1
690	0
691	0
692	1
693	0
694	0
695	0
696	1
697	0
698	0
699	0
700	1
701	1
702	1
703	1
704	0
705	0
706	1
707	1
708	0
709	1
710	1
711	1
712	1
713	0
714	0
715	1
716	1
717	1
718	0
719	1
720	1
721	1
722	1
723	1
724	1
725	1
726	1
727	1
728	0
729	1
730	1
731	0
732	0
733	0
734	1
735	1
736	1
737	1
738	0
739	0
740	1
741	1
742	1
743	0
744	1
745	1
746	1
747	1
748	0
749	1
750	1
751	1
752	1
753	0
754	1
755	1
756	1
757	0
758	1
759	1
760	1
761	1
762	1
763	1
764	0
765	1
766	0
767	1
768	1
769	1
770	1
771	1
772	1
773	1
774	0
775	1
776	1
777	0
778	1
779	1
780	1
781	0
782	1
783	1
784	0
785	1
786	1
787	1
788	1
789	1
790	1
791	1
792	1
793	0
794	1
795	0
796	0
797	1
798	0
799	1
800	0
801	1
802	1
803	0
804	0
805	1
806	1
807	0
808	0
809	0
810	0
811	0
812	1
813	0
814	1
815	1
816	1
817	0
818	1
819	1
820	1
821	0
822	1
823	0
824	0
825	1
826	1
827	1
828	0
829	0
830	1
831	0
832	1
833	0
834	0
835	0
836	0
837	0
838	0
839	1
840	1
841	1
842	0
843	0
844	1
845	0
846	1
847	0
848	0
849	1
850	1
851	1
852	0
853	1
854	1
855	1
856	1
857	1
858	0
859	0
860	1
861	1
862	1
863	0
864	0
865	0
866	0
867	0
868	1
869	1
870	1
871	1
872	1
873	0
874	1
875	0
876	1
877	1
878	0
879	1
880	0
881	1
882	0
883	0
884	1
885	1
886	1
887	1
888	1
889	1
890	1
891	1
892	1
893	0
894	0
895	0
896	1
897	1
898	1
899	1
900	1
901	1
902	1
903	0
904	0
905	1
906	0
907	1
908	1
909	0
910	1
911	1
912	1
913	1
914	1
915	0
916	1
917	1
918	0
919	1
920	0
921	0
922	1
923	0
924	0
925	0
926	0
927	1
928	1
929	1
930	0
931	1
932	1
933	0
934	1
935	0
936	0
937	1
938	1
939	1
940	1
941	0
942	0
943	0
944	0
945	1
946	0
947	0
948	1
949	1
950	0
951	1
952	0
953	1
954	1
955	1
956	0
957	0
958	1
959	0
960	1
961	1
962	1
963	0
964	0
965	0
966	0
967	0
968	1
969	0
970	0
971	0
972	0
973	0
974	0
975	1
976	1
977	0
978	1
979	1
980	1
981	1
982	1
983	1
984	1
985	1
986	1
987	0
988	1
989	1
990	1
991	1
992	1
993	1
994	1
995	0
996	0
997	1
998	1
999	1
1000	0
1001	1
1002	1
1003	0
1004	1
1005	1
1006	0
1007	1
1008	1
1009	0
1010	1
1011	1
1012	0
1013	1
1014	1
1015	1
1016	0
1017	0
1018	1
1019	1
1020	1
1021	1
1022	1
1023	1
1024	1
1025	0
1026	1
1027	0
1028	0
1029	1
1030	1
1031	1
1032	0
1033	0
1034	0
1035	0
1036	1
1037	1
1038	1
1039	0
1040	1
1041	1
1042	1
1043	1
1044	0
1045	0
1046	1
1047	1
1048	1
1049	0
1050	1
1051	0
1052	1
1053	0
1054	1
1055	1
1056	1
1057	1
1058	1
1059	0
1060	1
