index	prediction
0	1
1	0
2	1
3	1
4	1
5	0
6	1
7	1
8	0
9	1
10	1
11	0
12	1
13	1
14	1
15	0
16	1
17	1
18	0
19	1
20	0
21	1
22	1
23	0
24	1
25	0
26	0
27	1
28	1
29	0
30	1
31	1
32	1
33	1
34	1
35	0
36	0
37	1
38	1
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	1
47	1
48	0
49	1
50	1
51	0
52	0
53	0
54	1
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	1
67	0
68	0
69	1
70	1
71	0
72	1
73	0
74	1
75	1
76	0
77	1
78	1
79	0
80	1
81	1
82	0
83	1
84	0
85	1
86	1
87	1
88	1
89	0
90	0
91	1
92	0
93	1
94	1
95	0
96	1
97	1
98	0
99	1
100	0
101	1
102	0
103	1
104	1
105	1
106	0
107	1
108	1
109	0
110	0
111	0
112	0
113	1
114	1
115	1
116	0
117	0
118	0
119	1
120	1
121	0
122	0
123	0
124	1
125	0
126	1
127	0
128	0
129	0
130	1
131	0
132	1
133	0
134	0
135	0
136	0
137	1
138	1
139	1
140	1
141	1
142	0
143	0
144	0
145	0
146	1
147	1
148	0
149	0
150	1
151	0
152	0
153	0
154	0
155	0
156	1
157	1
158	1
159	0
160	0
161	1
162	0
163	1
164	0
165	1
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	1
175	1
176	0
177	1
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	1
186	1
187	0
188	0
189	1
190	0
191	0
192	1
193	1
194	1
195	0
196	1
197	1
198	0
199	0
200	1
201	1
202	0
203	0
204	0
205	0
206	1
207	1
208	1
209	1
210	0
211	0
212	1
213	0
214	1
215	1
216	1
217	0
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	0
227	0
228	0
229	1
230	1
231	1
232	1
233	0
234	1
235	1
236	1
237	0
238	0
239	0
240	1
241	0
242	0
243	0
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	0
253	0
254	0
255	0
256	1
257	0
258	1
259	1
260	0
261	0
262	1
263	1
264	0
265	0
266	1
267	0
268	1
269	0
270	0
271	0
272	1
273	1
274	1
275	0
276	0
277	0
278	1
279	0
280	1
281	1
282	0
283	0
284	0
285	1
286	1
287	1
288	1
289	0
290	1
291	1
292	0
293	1
294	0
295	0
296	0
297	0
298	0
299	1
300	1
301	0
302	0
303	0
304	1
305	0
306	1
307	0
308	0
309	1
310	0
311	0
312	0
313	0
314	0
315	1
316	1
317	0
318	0
319	0
320	1
321	0
322	0
323	0
324	0
325	1
326	0
327	1
328	1
329	0
330	1
331	0
332	0
333	1
334	1
335	1
336	1
337	0
338	1
339	1
340	1
341	0
342	0
343	0
344	1
345	0
346	0
347	1
348	1
349	1
350	1
351	1
352	1
353	0
354	1
355	0
356	0
357	1
358	1
359	0
360	0
361	1
362	1
363	1
364	1
365	0
366	1
367	0
368	1
369	0
370	1
371	0
372	0
373	0
374	1
375	0
376	0
377	0
378	1
379	1
380	1
381	1
382	1
383	1
384	0
385	0
386	1
387	1
388	0
389	1
390	1
391	0
392	1
393	1
394	0
395	1
396	0
397	0
398	1
399	0
400	0
401	0
402	1
403	0
404	1
405	0
406	0
407	1
408	1
409	1
410	1
411	0
412	1
413	0
414	1
415	1
416	1
417	0
418	1
419	0
420	1
421	0
422	1
423	0
424	1
425	0
426	0
427	1
428	1
429	1
430	1
431	0
432	1
433	1
434	1
435	0
436	1
437	1
438	0
439	1
440	1
441	0
442	0
443	0
444	0
445	1
446	1
447	1
448	0
449	1
450	1
451	0
452	0
453	1
454	1
455	1
456	1
457	0
458	0
459	0
460	1
461	1
462	1
463	0
464	0
465	0
466	1
467	1
468	1
469	0
470	0
471	0
472	1
473	1
474	0
475	1
476	1
477	0
478	0
479	0
480	0
481	1
482	1
483	0
484	1
485	1
486	0
487	1
488	1
489	0
490	1
491	1
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	1
501	0
502	1
503	1
504	0
505	0
506	0
507	1
508	1
509	1
510	1
511	0
512	1
513	0
514	0
515	1
516	1
517	1
518	0
519	0
520	0
521	0
522	1
523	1
524	1
525	0
526	0
527	0
528	1
529	0
530	1
531	1
532	1
533	1
534	1
535	1
536	0
537	0
538	1
539	0
540	0
541	1
542	0
543	0
544	1
545	0
546	1
547	1
548	0
549	0
550	0
551	0
552	0
553	1
554	1
555	0
556	1
557	0
558	0
559	1
560	0
561	0
562	1
563	1
564	0
565	0
566	0
567	1
568	0
569	0
570	1
571	1
572	1
573	0
574	1
575	0
576	0
577	1
578	1
579	0
580	0
581	1
582	1
583	1
584	1
585	1
586	0
587	1
588	0
589	1
590	0
591	1
592	1
593	1
594	0
595	0
596	0
597	0
598	0
599	0
600	1
601	0
602	1
603	0
604	1
605	0
606	0
607	1
608	0
609	0
610	1
611	1
612	1
613	1
614	0
615	0
616	1
617	1
618	0
619	1
620	0
621	0
622	0
623	1
624	0
625	1
626	1
627	0
628	0
629	0
630	0
631	0
632	1
633	1
634	0
635	0
636	1
637	0
638	0
639	1
640	1
641	1
642	1
643	1
644	0
645	0
646	1
647	0
648	0
649	0
650	0
651	1
652	1
653	1
654	1
655	1
656	1
657	0
658	0
659	0
660	0
661	0
662	1
663	1
664	0
665	1
666	1
667	1
668	0
669	0
670	1
671	1
672	1
673	1
674	1
675	0
676	1
677	0
678	1
679	1
680	1
681	1
682	0
683	1
684	1
685	1
686	0
687	1
688	0
689	1
690	1
691	0
692	0
693	0
694	0
695	1
696	0
697	0
698	0
699	0
700	0
701	1
702	0
703	1
704	0
705	0
706	0
707	1
708	0
709	1
710	0
711	0
712	0
713	1
714	1
715	1
716	1
717	0
718	1
719	0
720	1
721	0
722	1
723	0
724	0
725	0
726	0
727	1
728	1
729	0
730	1
731	0
732	0
733	1
734	0
735	1
736	1
737	1
738	1
739	1
740	1
741	0
742	0
743	1
744	0
745	0
746	0
747	1
748	0
749	0
750	0
751	1
752	0
753	0
754	1
755	0
756	0
757	0
758	0
759	0
760	0
761	1
762	1
763	1
764	0
765	1
766	1
767	0
768	1
769	1
770	1
771	1
772	1
773	0
774	0
775	0
776	0
777	1
778	0
779	1
780	0
781	0
782	1
783	0
784	1
785	1
786	0
787	0
788	1
789	0
790	1
791	0
792	1
793	0
794	0
795	0
796	0
797	1
798	1
799	1
800	0
801	0
802	1
803	1
804	0
805	0
806	1
807	0
808	1
809	1
810	0
811	0
812	0
813	0
814	1
815	1
816	0
817	0
818	1
819	1
820	0
821	1
822	0
823	1
824	1
825	0
826	0
827	1
828	1
829	1
830	0
831	1
832	1
833	0
834	0
835	0
836	1
837	1
838	0
839	1
840	1
841	1
842	1
843	0
844	0
845	1
846	1
847	1
848	1
849	1
850	0
851	1
852	1
853	1
854	1
855	0
856	0
857	1
858	1
859	0
860	1
861	1
862	1
863	0
864	1
865	1
866	1
867	1
868	0
869	0
870	1
871	0
872	0
873	1
874	0
875	1
876	1
877	0
878	0
879	1
880	1
881	1
882	1
883	1
884	1
885	1
886	1
887	0
888	0
889	0
890	1
891	0
892	0
893	0
894	1
895	0
896	0
897	0
898	1
899	1
900	1
901	0
902	0
903	0
904	1
905	1
906	0
907	1
908	0
909	0
910	0
911	0
912	1
913	1
914	0
915	0
916	0
917	1
918	0
919	0
920	0
921	0
922	0
923	0
924	1
925	0
926	1
927	0
928	1
929	0
930	1
931	0
932	1
933	1
934	0
935	1
936	1
937	0
938	0
939	1
940	1
941	1
942	0
943	0
944	0
945	1
946	1
947	1
948	0
949	1
950	1
951	1
952	0
953	1
954	0
955	1
956	1
957	1
958	1
959	0
960	1
961	0
962	0
963	0
964	1
965	0
966	0
967	0
968	0
969	0
970	1
971	0
972	0
973	1
974	0
975	0
976	0
977	1
978	0
979	1
980	1
981	0
982	1
983	1
984	1
985	1
986	0
987	1
988	0
989	0
990	0
991	0
992	0
993	1
994	0
995	0
996	0
997	0
998	1
999	1
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	1
1007	1
1008	0
1009	1
1010	0
1011	1
1012	0
1013	1
1014	0
1015	0
1016	0
1017	0
1018	0
1019	1
1020	1
1021	1
1022	0
1023	1
1024	0
1025	0
1026	1
1027	1
1028	0
1029	1
1030	0
1031	1
1032	0
1033	0
1034	0
1035	1
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	1
1045	0
1046	1
1047	0
1048	1
1049	0
1050	1
1051	1
1052	0
1053	0
1054	1
1055	0
1056	0
1057	1
1058	0
1059	1
1060	0
1061	0
1062	0
1063	0
1064	0
1065	0
1066	1
1067	0
1068	0
1069	0
1070	1
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
1077	1
1078	1
1079	0
1080	1
1081	0
1082	1
1083	1
1084	1
1085	1
1086	1
1087	1
1088	1
1089	0
1090	0
1091	1
1092	1
1093	1
1094	1
1095	0
1096	0
1097	0
1098	1
1099	0
1100	1
1101	0
1102	1
1103	0
1104	0
1105	0
1106	1
1107	1
1108	0
1109	1
1110	0
1111	1
1112	0
1113	1
1114	0
1115	0
1116	0
1117	0
1118	1
1119	0
1120	0
1121	0
1122	1
1123	1
1124	1
1125	1
1126	1
1127	1
1128	0
1129	1
1130	0
1131	1
1132	1
1133	0
1134	0
1135	1
1136	1
1137	0
1138	0
1139	0
1140	1
1141	1
1142	0
1143	0
1144	1
1145	1
1146	1
1147	1
1148	0
1149	1
1150	0
1151	0
1152	1
1153	1
1154	1
1155	1
1156	1
1157	1
1158	1
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	1
1169	0
1170	1
1171	1
1172	1
1173	1
1174	1
1175	0
1176	1
1177	1
1178	1
1179	0
1180	0
1181	1
1182	0
1183	1
1184	1
1185	0
1186	1
1187	0
1188	0
1189	0
1190	1
1191	1
1192	0
1193	1
1194	1
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	1
1202	1
1203	0
1204	0
1205	0
1206	0
1207	1
1208	1
1209	1
1210	0
1211	1
1212	1
1213	0
1214	0
1215	0
1216	0
1217	1
1218	1
1219	0
1220	0
1221	0
1222	1
1223	0
1224	0
1225	0
1226	1
1227	1
1228	1
1229	0
