index	prediction
0	1
1	0
2	0
3	1
4	1
5	0
6	1
7	1
8	0
9	1
10	1
11	0
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	0
22	1
23	0
24	0
25	0
26	0
27	1
28	1
29	0
30	1
31	1
32	1
33	0
34	1
35	1
36	1
37	1
38	1
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	1
47	1
48	1
49	0
50	1
51	0
52	0
53	0
54	0
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	1
65	0
66	1
67	1
68	1
69	1
70	0
71	0
72	1
73	0
74	1
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	0
83	1
84	0
85	1
86	0
87	1
88	0
89	0
90	0
91	0
92	1
93	1
94	0
95	1
96	1
97	1
98	1
99	1
100	0
101	0
102	0
103	0
104	1
105	0
106	1
107	1
108	1
109	0
110	0
111	1
112	0
113	0
114	0
115	1
116	0
117	0
118	0
119	1
120	1
121	0
122	0
123	0
124	1
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	1
133	1
134	0
135	0
136	0
137	1
138	1
139	1
140	0
141	1
142	0
143	0
144	1
145	1
146	1
147	0
148	0
149	1
150	1
151	0
152	0
153	0
154	1
155	1
156	1
157	1
158	0
159	0
160	0
161	1
162	0
163	1
164	1
165	1
166	0
167	0
168	1
169	0
170	0
171	1
172	1
173	0
174	0
175	1
176	1
177	1
178	0
179	1
180	0
181	0
182	1
183	0
184	1
185	1
186	1
187	0
188	1
189	1
190	0
191	1
192	1
193	0
194	1
195	0
196	0
197	1
198	0
199	1
200	1
201	1
202	1
203	0
204	0
205	0
206	1
207	1
208	1
209	0
210	0
211	0
212	1
213	0
214	0
215	1
216	1
217	0
218	0
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	0
227	0
228	0
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	0
240	0
241	0
242	0
243	0
244	1
245	1
246	0
247	0
248	1
249	1
250	1
251	0
252	0
253	0
254	0
255	0
256	1
257	0
258	0
259	0
260	0
261	1
262	0
263	1
264	1
265	0
266	0
267	1
268	1
269	1
270	0
271	1
272	1
273	0
274	1
275	0
276	0
277	0
278	1
279	0
280	1
281	1
282	1
283	0
284	0
285	1
286	1
287	1
288	1
289	0
290	1
291	0
292	1
293	0
294	0
295	0
296	0
297	1
298	0
299	1
300	0
301	0
302	0
303	1
304	1
305	0
306	0
307	0
308	1
309	1
310	0
311	1
312	0
313	0
314	1
315	1
316	1
317	1
318	0
319	1
320	1
321	1
322	0
323	0
324	0
325	1
326	0
327	1
328	1
329	0
330	0
331	1
332	1
333	1
334	1
335	1
336	1
337	0
338	1
339	1
340	1
341	0
342	0
343	0
344	0
345	0
346	1
347	1
348	1
349	1
350	0
351	0
352	1
353	0
354	1
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	0
370	1
371	1
372	0
373	0
374	1
375	0
376	1
377	0
378	1
379	1
380	1
381	0
382	1
383	1
384	0
385	0
386	1
387	1
388	0
389	0
390	1
391	0
392	0
393	1
394	1
395	0
396	0
397	0
398	1
399	0
400	0
401	0
402	1
403	0
404	1
405	0
406	0
407	1
408	1
409	1
410	1
411	0
412	1
413	0
414	1
415	1
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	1
429	1
430	1
431	0
432	0
433	0
434	1
435	0
436	1
437	1
438	0
439	1
440	0
441	1
442	0
443	0
444	0
445	1
446	1
447	1
448	0
449	1
450	1
451	0
452	0
453	1
454	1
455	0
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	1
464	0
465	0
466	0
467	1
468	1
469	0
470	0
471	0
472	1
473	1
474	1
475	1
476	1
477	0
478	0
479	0
480	1
481	0
482	1
483	0
484	1
485	0
486	0
487	1
488	1
489	1
490	1
491	0
492	0
493	0
494	0
495	0
496	1
497	1
498	1
499	0
500	0
501	0
502	0
503	1
504	1
505	1
506	0
507	1
508	1
509	1
510	0
511	1
512	1
513	1
514	1
515	1
516	1
517	1
518	1
519	1
520	0
521	1
522	1
523	1
524	0
525	0
526	0
527	0
528	0
529	1
530	1
531	1
532	1
533	1
534	0
535	1
536	0
537	0
538	1
539	0
540	0
541	1
542	0
543	0
544	1
545	0
546	1
547	1
548	1
549	0
550	0
551	0
552	0
553	0
554	1
555	0
556	1
557	0
558	0
559	1
560	0
561	1
562	1
563	1
564	0
565	1
566	0
567	1
568	1
569	0
570	0
571	1
572	1
573	0
574	1
575	0
576	0
577	0
578	1
579	0
580	0
581	1
582	1
583	0
584	0
585	1
586	0
587	1
588	0
589	0
590	1
591	0
592	1
593	0
594	0
595	1
596	0
597	0
598	0
599	0
600	1
601	0
602	0
603	0
604	1
605	1
606	1
607	0
608	0
609	0
610	1
611	1
612	1
613	1
614	0
615	0
616	1
617	1
618	0
619	0
620	1
621	0
622	1
623	1
624	0
625	1
626	1
627	1
628	1
629	0
630	0
631	0
632	0
633	1
634	0
635	1
636	0
637	0
638	0
639	1
640	1
641	0
642	1
643	0
644	1
645	1
646	1
647	1
648	0
649	0
650	0
651	0
652	1
653	0
654	0
655	1
656	1
657	0
658	0
659	0
660	0
661	1
662	1
663	1
664	0
665	1
666	1
667	1
668	1
669	0
670	1
671	1
672	0
673	1
674	0
675	1
676	1
677	0
678	1
679	1
680	1
681	0
682	0
683	1
684	1
685	1
686	0
687	1
688	1
689	1
690	1
691	0
692	1
693	1
694	1
695	1
696	0
697	0
698	0
699	0
700	0
701	1
702	0
703	1
704	1
705	0
706	0
707	1
708	0
709	1
710	0
711	0
712	0
713	0
714	1
715	0
716	0
717	0
718	1
719	0
720	0
721	0
722	1
723	0
724	0
725	1
726	0
727	1
728	0
729	0
730	0
731	1
732	0
733	0
734	0
735	1
736	1
737	1
738	1
739	1
740	1
741	0
742	0
743	1
744	0
745	0
746	1
747	1
748	0
749	0
750	1
751	1
752	1
753	0
754	1
755	0
756	1
757	1
758	0
759	0
760	1
761	0
762	1
763	1
764	1
765	1
766	1
767	1
768	1
769	1
770	1
771	1
772	0
773	1
774	1
775	0
776	0
777	1
778	0
779	1
780	0
781	0
782	1
783	0
784	0
785	0
786	0
787	0
788	0
789	1
790	1
791	1
792	1
793	0
794	0
795	0
796	1
797	0
798	0
799	1
800	1
801	0
802	1
803	1
804	1
805	0
806	1
807	1
808	1
809	1
810	1
811	0
812	1
813	0
814	0
815	0
816	0
817	0
818	1
819	1
820	1
821	1
822	0
823	1
824	1
825	0
826	1
827	0
828	1
829	1
830	0
831	1
832	0
833	0
834	1
835	0
836	1
837	1
838	0
839	0
840	1
841	1
842	1
843	0
844	0
845	1
846	1
847	0
848	1
849	0
850	0
851	1
852	1
853	1
854	1
855	0
856	0
857	0
858	1
859	0
860	1
861	1
862	0
863	1
864	1
865	1
866	1
867	0
868	0
869	0
870	0
871	0
872	1
873	0
874	1
875	1
876	1
877	0
878	0
879	0
880	0
881	1
882	1
883	1
884	0
885	0
886	0
887	0
888	0
889	0
890	1
891	1
892	0
893	0
894	1
895	0
896	0
897	0
898	0
899	1
900	1
901	0
902	0
903	0
904	1
905	1
906	0
907	0
908	0
909	1
910	1
911	1
912	1
913	0
914	0
915	0
916	0
917	1
918	0
919	1
920	0
921	0
922	0
923	1
924	1
925	0
926	1
927	0
928	0
929	0
930	1
931	0
932	1
933	1
934	1
935	0
936	1
937	0
938	0
939	1
940	0
941	0
942	1
943	1
944	0
945	1
946	1
947	1
948	0
949	1
950	1
951	1
952	0
953	1
954	1
955	1
956	1
957	1
958	1
959	0
960	1
961	1
962	0
963	0
964	0
965	1
966	1
967	1
968	0
969	0
970	1
971	1
972	0
973	1
974	1
975	0
976	1
977	1
978	0
979	0
980	0
981	0
982	1
983	1
984	1
985	0
986	0
987	1
988	1
989	0
990	0
991	0
992	1
993	1
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	1
1004	0
1005	0
1006	1
1007	1
1008	0
1009	0
1010	1
1011	1
1012	0
1013	1
1014	0
1015	0
1016	1
1017	1
1018	0
1019	1
1020	1
1021	1
1022	0
1023	1
1024	0
1025	0
1026	1
1027	1
1028	1
1029	1
1030	1
1031	0
1032	0
1033	0
1034	1
1035	1
1036	0
1037	1
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	1
1045	1
1046	1
1047	1
1048	1
1049	0
1050	0
1051	1
1052	0
1053	0
1054	0
1055	1
1056	0
1057	1
1058	0
1059	0
1060	0
1061	1
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	1
1070	0
1071	0
1072	0
1073	0
1074	0
1075	1
1076	0
1077	1
1078	0
1079	0
1080	1
1081	1
1082	1
1083	1
1084	1
1085	1
1086	1
1087	1
1088	0
1089	0
1090	1
1091	1
1092	1
1093	1
1094	0
1095	0
1096	0
1097	0
1098	1
1099	0
1100	1
1101	0
1102	1
1103	0
1104	0
1105	0
1106	0
1107	1
1108	0
1109	1
1110	0
1111	1
1112	0
1113	0
1114	1
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	1
1122	1
1123	1
1124	0
1125	1
1126	1
1127	1
1128	0
1129	1
1130	0
1131	1
1132	1
1133	0
1134	0
1135	1
1136	0
1137	0
1138	0
1139	0
1140	1
1141	1
1142	0
1143	0
1144	0
1145	1
1146	1
1147	1
1148	0
1149	1
1150	0
1151	0
1152	0
1153	1
1154	1
1155	1
1156	0
1157	0
1158	1
1159	1
1160	1
1161	0
1162	0
1163	1
1164	0
1165	1
1166	1
1167	0
1168	1
1169	1
1170	1
1171	0
1172	0
1173	1
1174	1
1175	1
1176	1
1177	1
1178	1
1179	1
1180	0
1181	1
1182	1
1183	1
1184	1
1185	0
1186	1
1187	0
1188	0
1189	0
1190	1
1191	1
1192	0
1193	1
1194	1
1195	0
1196	0
1197	1
1198	1
1199	0
1200	0
1201	0
1202	0
1203	0
1204	0
1205	1
1206	1
1207	1
1208	1
1209	1
1210	0
1211	0
1212	1
1213	1
1214	0
1215	0
1216	0
1217	0
1218	1
1219	0
1220	0
1221	0
1222	0
1223	0
1224	1
1225	0
1226	1
1227	1
1228	1
1229	0
